	0
0	"He wishes to maintain a sense of secrecy around him; he doesn’t want people to know who he is meeting and why; and he creates a charade while going about his day-to-day life.He is a 30-year-old protected witness (PW) in the conspiracy case of communal riots that broke out in the Capital in February 2020. A resident of north-east Delhi, he is among the protected witnesses who was not produced before the magistrate for recording his statement but his ‘statement to police’ was attached in the chargesheet. Speaking to The Hindu, the witness said the statement police have submitted is not his and he has not signed it either. “About five-six months after the riots, I was called by the police for the first time and the officer asked me general questions about my life and nothing about the riots. The second time they asked me some unusual questions such as what variety of mangoes I like to eat; and during the conversation they kept my phone with them. During the third interaction, they took away my phone. The fourth time, they called me and enquired about my relationship with the people who were in my contact list, and those who were arrested in the case,” he said. Next thing he knew, he was in the list of protected witnesses.
Caught unawares
 “I was not informed by the police that I have been made a PW. I never signed any statement. I never appeared in the court. I never gave any statement in the first place,” he said. The document police submitted in his name is a six/seven-page chronology of events which he read after it was submitted to the court, he added. Recalling the events that led to the riots, the 30-year-old said he was against the violence “from the beginning” and had even averted probable ruckus on four occasions starting mid-January 2020. “Outsiders had taken over the anti-CAA protests and they continued to say that we should do something big and we locals were always against it. I had stopped being an active part of the protests on January 22,” said the witness, who was vocal against the ideas of some of those arrested in the conspiracy case.
Mental trauma
 Being a ‘PW’ has impacted him emotionally and mentally in the last two years. “Very few people know that I have been made a PW. Mostly, people have known me for vehemently opposing the violence. I have been labeled by both sides of the extremes – the right and the left; Hindus and Muslims. Those who were my friends don’t stand with me now and I am facing a boycott,” he said. On February 29, 2020, he apparently received a random call from a woman who accused him of being integral to the planned protests in north-east Delhi. “I got so worried after that and left my home for few days and returned only when the frenzy subsided,” he said. “My parents remain worried. During the bail hearings there are instances when the arguments worry all of us and they keep offering prayers. I have been diagnosed with hypertension,” he said, anxious about what is ahead of me when the case goes to trial. “The investigation is poor. I don’t understand where I fit in the scheme of things”. Advocate Abdul Gaffar, who is defending several Delhi riots cases, said that writing statements for witnesses is a routine for the police so that the chargesheet can sustain in the court of law or “what suits the prosecution”, sometimes even with incorrect statements.  Communal riots broke out in February 2020 in north-east Delhi leaving over 50 people dead and countless injured. Police had arrested over 1,800 people in connection with 700-plus FIRs. An FIR registered on charges of criminal conspiracy is being probed by Delhi Police Special Cell and the chargesheet was submitted in court in September 2020."
1	" Opposing former JNU student leader Umar Khalid’s bail plea in the north-east Delhi riots “larger conspiracy” case, the prosecution on Friday sought to draw a parallel between the planning that went into the February
 2020 violence and the 9/11 terror attacks in the U.S.
 Referring to the defence arguments about Mr. Khalid’s case being similar to
The Trial of the Chicago 7 — a movie on the trial of seven defendants charged by the U.S. government with conspiracy after countercultural protests in Chicago in 1968 — Special Public Prosecutor (SPP) Amit Prasad said the 9/11 attacks were more relevant.
“Just before 9/11 happened, they [the accused] reached a particular place and took training. A month prior to that [9/11], they moved to their respective positions. That is what is relevant in this [Delhi riots] case also,” he submitted before Additional Sessions Judge Amitabh Rawat.He said the key conspirator of 9/11 had never visited the U.S. or Malaysia, where the plot was hatched, and then referred to the fact that despite conversations in the Delhi Protest Support Group pointing to a violent protest, Mr. Khalid continued to be part of the WhatsApp group and “remained silent”. The defence counsel had earlier argued that Mr. Khalid sent only five messages on the group.Amravati speech The prosecution also played Mr. Khalid’s Amravati speech of February 2020 and argued that he had attempted to create an “
aatank ka mahaul ” (feeling of terror) among Muslims. The SPP said at one point in his speech, Mr. Khalid used the term “We, Muslims” even though he claims to be an atheist.
Mr. Prasad said contrary to the public perception, the anti-Citizenship (Amendment) Act protest sites that sprang up in the run-up to the riots were not “organic” and had been carefully “planned” beforehand. “The issue was not CAA-NRC… you had to somehow embarrass the government,” the prosecutor submitted, adding that the attempt was to create “a facade of secular protests”. The prosecution arguments will continue on January 29."
2	" A Delhi court on Thursday sentenced Dinesh Yadav, the first person convicted in connection with February 2020 riots, to five years in jail. Last month, Additional Sessions Judge Virender Bhat had convicted him for being part of a riotous mob that set a house on fire.This is the first sentencing in the riots cases. Yadav has also been directed to pay a fine of ?12,000, said advocate Shikha Garg, who had represented him during the trial. A detailed order on sentencing is awaited.As per the prosecution, Yadav was an “active member of the riotous mob” and participated in vandalizing and putting on fire the house of a 73-year-old woman named Manori on February 25 night. Ms. Manori had alleged that a mob of around 150-200 rioters attacked her house when her family was not present and looted all the articles and even the buffalo. The 25-year-old Yadav was arrested on June 8, 2020. The court framed charges against him on August 3, 2021, to which he pleaded not guilty and claimed trial. He was convicted on December 6. Communal clashes had broken out in northeast Delhi in February 2020, after the violence between the Citizenship (Amendment) Act supporters and its protesters spiraled out of control leaving at least 53 people dead and over 700 injured. "
3	"The Delhi High Court has rejected the bail petition of a man arrested in connection with the death of a head constable during the northeast Delhi riots last year, noting that the incident was a result of a “pre-planned and pre-meditated conspiracy to disturb law and order in the city”.Justice Subramonium Prasad, while dismissing the bail plea of Mohd. Ibrahim, who was seen on numerous CCTV footages wearing a skull cap, black Nehru jacket and salwar-kurta and with a sword in his hand on multiple locations around Chand Bagh area. Also read:
Delhi riots: court pulls up police for 'callous' probeJustice Prasad said even though Mr. Ibrahim could not be seen at the ‘scene of crime’, he clearly was part of the mob for the sole reason that he had consciously travelled 1.6 km away from his neighbourhood with a sword, which could only be used to incite violence and inflict damage.“The riots which shook the National Capital of the country in February 2020 evidently did not take place in a spur of the moment, and the conduct of the protesters who are present in the video footage, which has been placed on record by the prosecution visibly portrays that it was a calculated attempt to dislocate the functioning of the government as well as to disrupt the normal life of the people in the city,” the court remarked.The systematic disconnection and destruction of CCTV cameras also confirmed the existence of a pre-planned and pre-meditated conspiracy to disturb law and order in the city, Justice Prasad said. “This is also evident from the fact that innumerable rioters ruthlessly descended with sticks, ‘dandas’, bats etc. upon a hopelessly outnumbered cohort of police officials”.Protest against CAAThe case relates to an FIR filed in connection with a protest against the Citizenship (Amendment) Act (CAA), 2019 that had been taking place for 1.5 months prior to the incident at Khajuri Square to Loni Circle at Wazirabad Road, Chand Bagh, by the Muslim community. Also read:
Delhi riots: Court drops arson charges against 10, says police covering flawOn February 24, 2020, around 1.00 p.m. the protesters mobilised near the Chand Bagh area and 25 Futa Road, and moved towards the Main Wazirabad Road. When police attempted to convince them to not move forward, the protesters carrying sticks, baseball sticks, iron rods and stones turned violent.Some people in the crowd started pelting stones at the police officials, and beat them as well as other passers-by. The FIR stated that ACP Gokalpuri, head constable Ratan Lal and DCP Shahdara Amit Kumar were beaten with sticks and stones, and as a result, they fell down and suffered grievous head injuries. Later, the head constable died of a bullet injury.Died of gunshot injuryMr. Ibrahim’s counsel argued that as per the injury report, which was a part and parcel of the charge sheet, the death of the head constable was due to a gunshot injury and the same was possibly fired from the gun of a police official. The death had not been caused by the sword which was carried by Mr. Ibrahim, he said.Additional Solicitor General S.V. Raju, representing the Delhi Police, said the absence of an accused from a video did not translate into absence of the accused from the scene of crime. Identification of an accused in videography was a Herculean task, he noted.After perusing the material on record, the court said Mr. Ibrahim had been clearly identified on multiple CCTV footages, carrying a sword and instigating the crowd.The clinching evidence that tilted this court towards prolonging the incarceration of Mr. Ibrahim was the fact that the weapon which was being carried by him was capable of causing grievous injuries and/or death, and was prima facie a dangerous weapon, Justice Prasad noted.Bail for another arrestedOn Monday, in a separate decision on the same FIR, the court granted bail to Mohd. Saleem Khan, who was arrested on March 11, 2020. He was seen turning away a CCTV camera with the aid of a wiper.Senior advocate Salman Khurshid, representing Mr. Khan, argued that his client had been falsely implicated in the FIR and that there was nothing on record which showed that Mr. Khan was a part of a mob or present at the scene of crime (SOC).Justice Prasad said, “A perusal of the material on record has revealed to the court that the video footage wherein the petitioner [Mr. Khan] is seen does not indicate whether the petitioner was a part of the unlawful assembly at the SOC”.Even though Mr. Khan could be seen dislocating a CCTV camera and inciting the crowd, the court said whether he was a part of the conspiracy or not could be ascertained only after evidence was filed.The usage of a wiper to turn away the CCTV camera implied that Mr. Khan may have been in the knowhow of the impending riots, Justice Prasad observed. The extent to which the charge could be added against him could not be deconstructed by this court at this point and was a matter of trial, he added."
4	"The Delhi High Court has rejected the bail plea of a man facing prosecution in the murder case of 85-year-old Akbari Begum during the north-east Delhi riots.While dismissing the plea of the accused, Vishal Singh, the court noted that he was not a “mere curious onlooker” but a part of the mob which set fire to a house, resulting in Begum’s death on February 25, 2020. The court, however, granted bail to two other accused — Arun Kumar and Ravi Kumar — in the same case, saying they were not seen actively participating with the mob in the video footage of the incident.The case relates to an FIR registered on February 27, 2020, at the Bhajanpura police station by a man whose house was set on fire by a mob. According to the complainant, the crowd was chanting slogans of “Jai Shri Ram”. He complained that the mob broke open his house locks, entered the premises and set it on fire. He said his family members ran to the rooftop and were later rescued by the police with the support of local residents. ‘Too old to escape’ The complainant said his mother, Akbari, was too old to escape. After extinguishing the fire, the family found her body on a folding bed on the second floor. The investigation into the case was later transferred to Special Investigation Team-II, Crime Branch, Delhi.Justice Subromonium Prasad passed three separate judgments on the bail pleas of the three accused.In the case of Vishal Singh, the court said: “The petitioner (Vishal Singh) was not a mere curious onlooker and the mob, in which the petitioner was participating, set fire to the house of the complainant resulting in the death of an old lady.” “The clinching evidence that tilts this court to prolong the incarceration of the petitioner is his presence in the video clipping wherein he is clearly identified at the scene of crime, dragging a scooty and pelting stones towards the residence of the complainant,” the court said.In Arun Kumar’s case, the High Court remarked that “even though the petitioner was spotted with a lathi, he was not been seen attacking any person with the lathi”. “The atmosphere where incident took place was charged and considering that the petitioner (Arun) herein is the neighbour of the complainant, it cannot be said with certainty that the presence of the accused at that time with the lathi alone is sufficient to conclude that he was an active member of the unlawful assembly that set the house of the complainant on fire,” the court said.On Ravi Kumar, the High Court said the video footage only shows him muffling his face. “He is not seen actively participating with the mob. The petitioner (Ravi) only seems to be a curious onlooker,” the court said."
5	" The anti-CAA protest was secular but the charge sheet in the Delhi riots conspiracy case was communal and the police fabricated a story to suit its narrative, former JNU student leader Umar Khalid told a court in New Delhi on November 2 calling it a “naked form of false implication”.Senior advocate Trideep Pais, appearing for Mr. Khalid, made the remarks during a hearing on Mr. Khalid’s bail plea in a case related to the communal violence that had broken out in north-east Delhi on February 24, 2020, after clashes between the Citizenship Amendment Act (CAA) supporters and its protesters spiralled out of control.Mr. Khalid and several others have been booked under the Unlawful Activities (Prevention) Act (UAPA), a stringent anti-terror law, accused of being the “masterminds” of the riots which had left 53 people dead and over 700 injured.Arguing his bail plea before Additional Sessions Judge Amitabh Rawat, Mr. Pais said the charge sheet was a fertile imagination of the police, calling the investigating officer (IO) a scriptwriter who “literally wrote a novel”.“No recovery, not present in Delhi, no violence attributed to me, no traces of funding,” Mr. Pais told the court while opposing Delhi Police’s allegations levelled against Mr. Khalid.The police had earlier said that Mr. Khalid’s bail plea had no merit and, referring to the charge sheet, asserted it would demonstrate the prima facie case against him before the court.During the hearing, Mr. Pais told the court, “Much after the riots happened, they registered the case, cooked up statements, or simply matched CDR location and if it matched with the co-accused, they arrested me.” Referring to the anti-CAA protest, he further said, “Not a single witness spoke that women were exploited, that there was a secular cover, etc. In fact, you will see a number of personalities who are educated, working in different fields, associated with CAA. Luckily they are not accused.”“In fact, the shoe is on the other side. The protest was secular, the charge sheet is communal,” he noted. Mr. Pais further said that if Delhi Police was a fair investigating agency, it would not have attributed ‘Tukde Tukde’ phrase from some other case’s charge sheet to the present one.“You have a political person who speaks against the state and you want to frame him. It is a naked form of false implication. You have fabricated a story to suit your narrative. This man is innocent. He has not done anything,” he added.On allegations that Mr. Khalid directed JNU student Sharjeel Imam and others to block the roads at Shaheen Bagh and Muslim-dominated areas, Mr. Pais submitted that while the prosecution claimed that chakka jam was equal to a terror act, it is not an offence and has been used by students, farmers, and others while participating in various agitations.On the police’s claims that women were paid money to sit at the protest site, he submitted, “Has any of the women come before you [police] to say that money was given to them. First of all, I take offence to this. Don’t they have their own say to sit there and protest?”In the last hearing, on October 12, Mr. Khalid, through his lawyer, said that the investigating officer wrote fanciful stories in the chargesheet and asked if organizing chakka jaam is an offence or does it invite the Unlawful Activities (Prevention) Act (UAPA).“Your [prosecution] wish to paint every accused with one brush as if it was one conspiracy crumbles when you look at the chargesheet. Where do you get it from? You got it from your mind. Half of it is a fertile imagination. None of this is supported by any statement,” Mr. Pais had said.Besides him, JNU students Natasha Narwal and Devangana Kalita, Jamia Coordination Committee members Safoora Zargar, former AAP councillor Tahir Hussain and several others have been booked under the stringent anti-terror law in the case."
6	" Shahrukh Pathan, who had allegedly
pointed a gun at a Delhi Police head constable during the
2020 Delhi riots , on Thursday told a court here that he did not fire shots at the cop and merely wanted to scare him and not kill, a claim opposed by the prosecution.
A photograph of Mr. Pathan pointing a gun at Delhi Police Head Constable Deepak Dahiya had gone viral on social media during the communal riots last year. He was
arrested on March 3, 2020 , and is currently lodged in Tihar Jail.
To show that there was no attempt to murder the cop, Senior advocate Menaka Guruswamy, representing Mr. Pathan, played a 26-seconds long video of the incident in the court and said that the accused fired two shots - one in the air and second to his right, following which he had a heated conversation with Mr. Dahiya and turned back.Additional Sessions Judge Amitabh Rawat then asked the lawyer to replay the video and pointed towards the position of Mr. Pathan's gun just before he shot fire in the air.“Look at the position of his gun. It is not pointed up. It is straight [at Mr. Dahiya]. When he is taking the aim, it is straight,” the judge noted. The advocate, however, clarified that neither of the two gunshots was aimed at the head constable. ""The State's case is based on (Mr.) Dahiya. He is the potential victim and is not fired at. The first is in the air and the second is on the right,"" she said.Ms. Guruswamy added, “If I (accused) wanted to shoot him, I would have but that was not the intention. The accused turned around and ran away. Does any of this demonstrate the intention to kill or shoot him? At best, this is the intention to scare.” Mr. Pathan's counsel said that he did not shoot Mr. Dahiya but instead asked him to step back.“We had a conversation as heated as it can be and then we retreated. Where is the intention to kill?” she submitted.She further said, “I had ample opportunity in this 26 seconds to kill Dahiya or to say the least to injure him. I am trying to scare him. Objectionable as it is for a citizen to scare a police officer, Section 307 IPC [attempt to murder] is not made out because I had no intention to kill.” Special Public Prosecutor Anuj Handa, appearing for the police, said that the accused had clearly pointed the gun at the cop.Opposing Ms. Guruswamy's arguments that Mr. Pathan had no intention to kill the cop, Mr. Handa said, “The gun is pointed slightly downwards directly at the head of the complainant. His hand going upwards is because of the recoil after shots are fired.” “The question I ask myself is this, during the first part of the video, he shoots at the different directions of the mob, who might be belonging to the different community. Suppose any person would have succumbed to the injuries, would the offence not have been made out?” the prosecutor asked.Mr. Pathan is facing charges of offences such as rioting with a deadly weapon, an attempt to murder, assault, and obstructing public servants in the discharge of duty under the Indian Penal Code (IPC) and the Arms Act. Communal clashes had broken out in northeast Delhi in February 2020, after violence between the
Citizenship (Amendment) Act  supporters and its protesters spiraled out of control leaving at least 53 people dead and over 700 injured.
"
7	" A Delhi court Wednesday dropped charges of arson against ten people accused of allegedly looting shops during the February 2020 riots, saying the police was trying to cover up a flaw and clubbing incidents of two different dates. The case was registered on the basis of three complaints – one Birjpal stated that his rented shop was looted by a riotous mob at Brijpuri Road on February 25, while Diwan Singh claimed that two of his shops were looted on February 24. Revoking arson charges, Additional Sessions Judge Vinod Yadav noted the complainants did not state a single word regarding the riotous mob committing “mischief by fire or explosive substance” in their initial statements. Diwan Singh, in his supplementary statement, stated however that the riotous mob put his shop on fire, to which the court said that the investigating agency cannot “cover up the flaw” by recording the supplementary statements if the offence of arson was not there in initial complaints made to the police. The judge further said that arson charges cannot be invoked merely on the basis of statements of police witnesses who were posted as beat officers in the area on the date of the incident. ASJ Yadav said that he is unable to comprehend how an incident that took place on February 24 can be clubbed with the incident which occurred on February 25 unless and until there is clear evidence that the same rioters were operating on both dates.“In view of the aforesaid discussion, I am of the considered view that ingredients of Section 436 IPC [mischief by fire or explosive substance] are not at all made out from the material produced on record by the investigating agency,” the judge said. The ten accused are Mohd Shahnawaz, Mohd Shoaib, Shahrukh, Rashid, Azad, Ashraf Ali, Parvez, Mohd Faizal, Rashid, Mohd Tahir. The other sections invoked in the chargesheet such as Sections 147 (rioting), 148 (rioting, armed with a deadly weapon), 149 (unlawful assembly), 188 (disobedience to order by public servant), 354 (assault), 392 (robbery), 427 (mischief), 452 (house trespass), 153-A (promoting disharmony on grounds of religion), 506 (criminal intimidation) are “exclusively triable” by a Magistrate, ASJ Yadav said. He ordered for the case to be transferred to the Chief Metropolitan Magistrate. Communal clashes had broken out in northeast Delhi in February 2020, after violence between the Citizenship (Amendment) Act supporters and its protesters spiraled out of control leaving at least 53 people dead and over 700 injured."
8	" A Delhi court has framed charges of rioting and attempt to murder against Shahrukh Pathan, who had allegedly
pointed a gun at a police officer during the 2020
Delhi riots , while rejecting his plea seeking discharge.
A photograph of Pathan pointing a gun at Delhi Police Head Constable Deepak Dahiya had surfaced on social media during the communal riots last year. He was arrested on March 3, 2020, and is currently lodged in Tihar Jail.Also read: Delhi violence | When the Centre cannot hold — on communal fault lines, state apathy and hope that lingers amidst despairWhile framing the charges, additional sessions judge Amitabh Rawat said it was quite apparent that Pathan led a group of rioters, attempted on Dahiya’s life, obstructed and used criminal force on a public servant on February 24, 2020.The judge charged Pathan under Sections 147 (punishment for rioting), 148 (rioting armed with a deadly weapon), 186 (obstructing public servant in discharge of duty), and 188 (disobedience to order duly promulgated by public servant) of the IPC.Charges were also framed under Sections 353 (assault), 307 (attempt to murder) read with Section 149 (member of unlawful assembly guilty of a common offence) of the IPC and various Sections of the Arms Act, to which he pleaded not guilty and claimed trial.Pathan had sought discharge from Sections 307 (attempt to murder) and 188 (disobedience to order duly promulgated by public servant) of the IPC on grounds that he had no intention to kill the cop and was unaware that Section 144 of the CrPC was in force.Section 144 of the CrPC prohibits the assembly of four or more people in a specific area.Also read: Delhi violence | Looted, burnt out homes offer little welcome to Shiv Vihar’s riot victimsDenying the relief, ASJ Rawat noted that “intention to kill” the police personnel was clearly made out from the statement given by Dahiya that Pathan aimed at his head and fired but he managed to escape.The judge further said contentions made by Pathan’s counsel that he did not attempt to kill the cop but only threatened him by firing in the air cannot be a basis for discharge in the face of the specific statement by Dahiya and the video footage.“Secondly, even as per the video footage, the accused raised his pistol (not sideways but straight) aiming at the victim who is taller in height than him, but the direction of the pistol is certainly aimed at the head of Head Constable Deepak Dahiya, and even the point at which the trigger is pulled, the aim is straight towards Head Constable Deepak Dahiya,” the judge noted in an Order dated December 7. “Usually after firing or pulling of the trigger, there is a jerk, and the hands and the pistol is raised up because of the jerk. Thus, even the video shows firing by
accused Shahrukh Pathan from pistol in daylight with an aim to kill Head Constable Deepak Dahiya,” he added.
The judge also took exception to the argument by the counsel of the accused that after the first firing, Pathan had a second opportunity to kill Dahiya but did not as there was no intention.Judge Rawat said that the incident occurred in a flash of seconds, and to diminish the valour of a brave policeman by arguing it as an act of magnanimity of the accused in not killing the policeman is neither palatable nor legally sound.Denying discharge in Section 188 of the IPC, the judge said it was not an ordinary case of groups committing an unlawful act, but riots of such a nature as has not been witnessed since the anti-Sikh riots of 1984 and hence, knowledge of Section 144 of the CrPC can be presumed.Pathan had raised the contention that the promulgation order under Section 144 of the CrPC was not brought to his knowledge and hence, Section 188 of the IPC is not made out.The judge, however, said, “Once the promulgation order is in force, knowledge is presumed in the context of the situation that prevailed at that time. Thus, charge under Section 188 of the IPC is made out.” Judge Rawat further said that discrepancies in the statement of Dahiya in the charge sheet and certain interviews will be looked into at the stage of the trial.Besides Pathan, the judge also framed charges against four more accused, Kaleem Ahmad, Ishtiyak Malik, Shamim and Abdul Shehzad, in the case.Communal clashes had broken out in northeast Delhi in February 2020 after violence between Citizenship (Amendment) Act supporters and its protesters spiralled out of control, leaving at least 53 people dead and over 700 injured."
9	" The Supreme Court on Thursday upheld the authority of
Delhi Assembly’s Peace and Harmony Committee to summon Facebook India’s senior official Ajit Mohan in connection with the February 2020 communal violence, saying the Capital can ill-afford another riot, and the
role of Facebook “must be looked into” in this context.
“It is difficult to accept the simplistic approach adopted by Facebook — that it is merely a platform posting third-party information and has no role in generating, controlling or modulating that information,” a three-judge Bench led by Justice Sanjay Kishan Kaul observed. Also read:
Facebook must take responsibility for content on its platform: SCThe 188-page judgment referred to how Facebook itself claims to be the most popular social media in India, with 270 million registered users. Social media platforms like Facebook have become “power centres” with the ability to influence vast sections of the public opinions, the court noted. These platforms are by no means altruistic in character. They employ business models that can be highly privacy intrusive. It compared Facebook to a “mass circulation media” with no or little editorial responsibility.“Facebook has acknowledged in their reply that they removed 22.5 million pieces of hate speech content in the second quarter of 2020 itself,” Justice Kaul, who authored the judgment, observed.Facebook cannot claim any “exceptional privilege” to abstain from appearing before the Peace Harmony Committee constituted by the Delhi Assembly. The court termed Mr. Mohan’s appeal in the apex court “premature”, saying no coercive action was taken or intended. The Committee merely wanted him to depose as a witness.The court lashed out at how the social media giant, by its own admission, appears only before committees which serve their commercial and operational interests. “But if their business interests are not served, they seek a right to stay away. Such a stand is completely unacceptable to us. Facebook has the power of not simply a hand but a fist, gloved as it may be,” Justice Kaul emphasised.Delhi riots | Legislative Assembly has no power to call Facebook official, Centre tells Supreme CourtThe court rejected Facebook’s argument that the Committee had no jurisdiction over law and order in Delhi, and it was encroaching into the Centre’s turf.“The concept of peace and harmony goes much beyond law and order and police… The unfortunate communal riots led to the death of 53 persons, caused significant damage… The complexity of communal tensions and their wide-ranging ramifications is a matter affecting citizens of Delhi. It cannot be said that the Government of Delhi cannot look into the causal factors in order to formulate appropriate remedial measures,” Justice Kaul reasoned.The judgment said an “informed deliberation” by the Assembly’s elected representatives on the best measures to combat online mass hate and violence in their geographical jurisdiction was very much within the Committee’s competence.However, the court said the Facebook representative appearing before the Committee need not answer any query from the Committee directly regarding law, order and the police.Right to silence a virtue in these “noisy times”: Facebook officialThe court dismissed Facebook’s argument that the Assembly ought to confine itself to making laws rather than enquire into the circumstances of the riots.“We cannot accept the plea that an Assembly must confine itself to the core function of legislation. This would be unreasonably restricting the role of an elected body… It is not only their concern but their duty to ensure that ‘peace and harmony’ prevails,” the court underscored.The court also declined a plea that the Committee had no power to summon “outsiders” or non-Members of the Assembly like Facebook.“Members and non-members can equally be directed to appear before the Committee and depose on oath,” Justice Kaul observed. "
