	0
0	"NEW DELHI: It�s been two years since the north-east Delhi riots, but many of the affected people are still running around incessantly, submitting documents to the sub-divisional magistrate, hoping for compensation that they feel is their due. Some such hopefuls told TOI that they had worn out their shoes visiting the district administrative offices, only to be dismissed with a string of excuses about their cases. Mustafabad resident Arif�s boutique tailoring shop in Mahalakshmi Enclave was burnt down on February 25, 2020. �I suffered losses of around Rs 6 lakh. I filed an FIR and visited the SDM�s office and was told I needed to fill some forms. This was done, but nothing has happened so far,� said Arif. �I have had to make my sons aged 13 and 15 years quit school and work to make ends meet. We also had to sell the jewellery we had saved for my daughter�s wedding. Only one thing remains for me to do: consume poison and die.� It�s not just Arif who is at his wit�s end. Many others too are in the same predicament. While some have been asked to produce documents that perished when their houses were destroyed by the mobs, others have been instructed to submit photographic proof of the attack on their properties, which they don�t have having fled from their houses for days altogether. Shezad Ashgar Zaidi, 50, whose electronics and computer store was looted on February 25 two years ago, said he went to his ransacked shop to locate his education certificates. �Everything, including laptops and other equipment, were gone and whatever remained had been burnt down. I couldn�t find my certificates,� said Zaidi. �I did click some photographs as a record of things that were stolen or burnt, but a mob attacked me and only set me free after I deleted those pictures. How is one supposed to get proof in such a scenario?� Zaidi claimed having filled several forms and received Rs 5,000 as compensation. �When one has lost not only stocks worth lakhs of rupees but livelihood itself, how is this puny sum going to help? I approached MLAs and MPs, to no avail,� sighed Zaidi. Mohammad Aslam Khan, 49, resident of Shiv Vihar, ran for his life and the rioters took away his two motorcycles and everything from his house. �We filled forms, provided our bank account numbers, but we have received no help,� he said. �My two bikes only cost around Rs 2 lakh, but the mob also took everything from our home, our fridge, TV and all other essential things. I have four children and don�t know how to secure their future.� Najis, 33, and her husband, Aseen, 35, suffered a similar fate. The Shiv Vihar residents were lucky to be saved by their Hindu neighbour but lost all their household items. �The rioters broke the rear wall of our house and carted away our belongings. We stayed at Idgah for a month before returning home,� revealed Najis. �My husband suffers dizzy spells frequently and can�t do much work. We have four children and we are surviving on help from here and there.� Idgah provided temporary residence for a month to Ashrafi Begum, 60, and her husband, Zaleel Khan, too. �The rioters stole the Rs 3 lakh we had collected for our daughter�s wedding as well as the house registry papers,� claimed Begum. �The officials asked us to show proof of the stolen cash and jewellery. We showed pictures of our son�s wedding to prove the jewellery was ours but had no evidence of the cash. This only got us a small sum as compensation.� Several similarly struggling families in Shiv Vihar are seeking help from Neev-Foundation for Legal Aid. �Most cases for compensation are stagnant in Delhi High Court. Two years after the riots, we are still getting requests for sustenance from the victims,� said Mishika Singh, founder-chairperson, Neev. "
1	"NEW DELHI: A local court has framed charges against 10 persons in a Delhi riots case, saying they were members of an unlawful assembly formed with an objective to create fear and panic amongst the Hindu community and threaten them to leave the country. According to the police, the 10 accused men resorted to violence and loot, and set ablaze the properties belonging to ""members of the Hindu community"" at Delhi's Bhagirathi Vihar area on February 25, 2020. Relying on the statements of witnesses, Additional Sessions Judge Virender Bhat said, ""Material on record prima facie discloses that the accused were the members of an unlawful assembly which had been formed with the object to create fear and panic amongst the people belonging to Hindu Community, to threaten them to leave the country and to cause arson, loot."" The judge, in an order dated December 13, framed charges against Mohd Shahnawaz, Mohd Shoaib, Shahrukh, Rashid, Azad, Ashraf Ali, Parvez, Mohd Faisal, Rashid, and Mohd Tahir. It has invoked sections 147 (rioting), 148 (rioting, armed with deadly weapon), 436 (mischief by fire), 452 (house-trespass with preparation to assault), 454 (lurking house-trespass), 392 (robbery), 427 (mischief) read with Section 149 (unlawful assembly) of the Indian Penal Code. The FIR was registered on a complaint filed by one Jagdish Prasad who said the rioters burnt his son's auto spare parts shop. Prasad also claimed that the mob threw a petrol bomb into the shop as a result of which it got burnt. He further stated that he, along with his two brothers, managed to escape from the rear gate to save their lives. Communal clashes had broken out in northeast Delhi in February 2020 after violence between the supporters of the Citizenship (Amendment) Act and those protesting against it spiraled out of control, leaving at least 53 people dead and over 700 injured. "
2	"NEW DELHI: The Delhi high court on Monday refused to grant bail to an accused in a case concerning the northeast Delhi riots of 2020, saying that there was ""pre-planned and pre-meditated conspiracy to disturb law and order in the city"" and events ""did not take place in a spur of the moment"". Justice Subramonium Prasad, while dealing with a bail application moved by one Mohd Ibrahim in the case concerning the alleged murder of Delhi Police head constable Ratan Lal, observed that there was a systematic disconnection and destruction of the CCTV cameras in areas near the place of the incident and ""innumerable rioters ruthlessly descended with sticks, dandas, bats, etc. upon a hopelessly outnumbered cohort of police officials"". ""The riots which shook the National Capital of the country in February 2020 evidently did not take place in a spur of the moment, and the conduct of the protestors who are present in the video footage which has been placed on record by the prosecution visibly portrays that it was a calculated attempt to dislocate the functioning of the Government as well as to disrupt the normal life of the people in the city,"" the court said. ""The systematic disconnection and destruction of the CCTV cameras also confirm the existence of a preplanned and pre-meditated conspiracy to disturb law and order in the city,"" it added. Dismissing the bail application of Ibrahim, the court stated that the available video footage showing the petitioner with the sword was ""quite egregious"" and sufficient to keep him in custody. ""A perusal of the material on record has revealed to the court that the petitioner has been identified on multiple CCTV footages, carrying a sword and instigating the crowd. The clinching evidence that tilts this Court towards prolonging the incarceration of the Petitioner is that the weapon which is being carried by the Petitioner is capable of causing grievous injuries and/or death, and is prima facie a dangerous weapon,"" the court stated. The judge while acknowledging the importance of personal liberty in a democratic polity, clarified that ""individual liberty cannot be misused in a manner that threatens the very fabric of civilized society by attempting to destabilise it and cause hurt to other persons"". ""Even though the petitioner cannot be seen at the Scene of Crime, he was a part of the mob for the sole reason that the Petitioner had consciously traveled 1.6 km away from his neighborhood with a sword which could only be used to incite violence and inflict damage,"" the court said. The petitioner, Ibrahim, was arrested in December 2020 and has been in judicial custody since then. He sought bail on the ground that he never participated in any protest or the riots at any point in time and the place on a record by the prosecution did not place him anywhere close to the scene of the crime. The court, in a separate order, granted bail to one Saleem Khan, saying that in the absence of any material to show that he was a part of the unlawful assembly at the crime scene, the veracity of the allegations levelled against him can be tested during trial. "
3	"NEW DELHI: A Delhi has granted bail to four people in three murder cases related to the northeast Delhi riots after the sole eyewitness did not identify the accused during his deposition. Additional sessions judge Virender Bhat granted relief to Ashok Kumar, Jitender Kumar, Ajay and Shubham on furnishing a bail bond of Rs 10,000 with one surety of like amount each. The accused had sought bail after witness Shashi Kant did not identify them. The court noted that keeping in mind the nature of the deposition of the witness, the special public prosecutor, appearing for police, fairly submitted that he had no objection to the bail applications. ""Considering the nature of the testimony of witness Shashi Kant, which was recorded in this case and taking into account no objection given by the SPP, the bail application is hereby allowed,"" it said in similar orders passed on the three cases related to rioting in Dayalpur. It directed the accused not to leave the territory of NCT of Delhi during the trial and to appear before the court on each and every date of hearing. The cases relate to the alleged murder of Ashfaaq, Zakir and Mehtab, who were caught and severely beaten up by a mob during the communal violence on February 25, 2020, which ultimately led to their death. A perusal of the postmortem report of deceased Zakir revealed that he had received as many as 22 injuries, out of which seven injuries were so grave in nature that they itself were sufficient to cause death of any person in ordinary course of nature. A review of the postmortem of Ashfaaq revealed that he had received 31 injuries, out of which one injury was sufficient to cause death under ordinary circumstances. All the injuries were fresh before death. Some of the injuries were caused by a sharp-edged weapon and the rest were due to application of the blunt force. The postmortem of Mehtab showed that he had received 11 injuries, out of which three injuries were opined to be caused by a sharp-edged sword and were so grave in nature that they itself were sufficient to cause death of any person in ordinary course of nature. At the stage of hearing of their earlier bail arguments, the court had noted that the eyewitness, who was a resident of the locality, had duly identified the accused allegedly indulging in rioting while one of them was carrying a sword. "
4	"NEW DELHI: Congratulating the Delhi Police for a fair investigation into the Delhi riots cases, Union home minister Amit Shah on Wednesday said that the department has done the job of presenting the rioters before the courts with strictness and justice. ""I congratulate Delhi Police for the role it played during the Covid pandemic and the Delhi riots, particularly for fair and strict investigation of the riots,"" the Home Minister said at the 75th Raising Day parade of Delhi Police. Communal riots broke out in the national capital in February, 2020, during which over 50 people were killed. Since then the Delhi Police has been investigating the riots and has detained and produced several accused people before the courts. A total of 695 cases are being investigated by north-east district police while 62 cases such as murders were transferred to the Crime Branch, where three dedicated special investigation teams investigated the cases under continuous monitoring of superior officers. On January 20, a Delhi court sentenced a man for 5 years, convicted for burning down the house of a 73-year-old woman. With inputs from IANS"
5	"NEW DELHI: Shahrukh Pathan, who had allegedly pointed a gun at a police head constable during the 2020 Delhi riots, on Thursday told a court that he did not fire shots at the cop and merely wanted to scare him and not kill, a claim opposed by the prosecution. A photograph of Pathan pointing a gun at Delhi Police head constable Deepak Dahiya had gone viral on social media during the communal riots last year.  He was arrested on March 3, 2020, and is currently lodged in Tihar Jail. To show that there was no attempt to murder the cop, senior advocate Menaka Guruswamy, representing Pathan, played a 26-seconds long video of the incident in the court and said that the accused fired two shots - one in the air and second to his right, following which he had a heated conversation with Dahiya and turned back. Additional sessions judge Amitabh Rawat then asked the lawyer to replay the video and pointed towards the position of Pathan's gun just before he shot fire in the air.  ""Look at the position of his gun. It is not pointed up. It is straight [at Dahiya]. When he is taking the aim, it is straight,"" the judge noted. The advocate, however, clarified that neither of the two gunshots was aimed at the head constable.  ""The state's case is based on Dahiya. He is the potential victim and is not fired at. The first is in the air and the second is on the right,"" she said. Guruswamy added, ""If I (accused) wanted to shoot him, I would have but that was not the intention. The accused turned around and ran away. Does any of this demonstrate the intention to kill or shoot him? At best, this is the intention to scare."" Pathan's counsel said that he did not shoot Dahiya but instead asked him to step back.  ""We had a conversation as heated as it can be and then we retreated. Where is the intention to kill?"" she submitted. She further said, ""I had ample opportunity in this 26 seconds to kill Dahiya or to say the least to injure him. I am trying to scare him. Objectionable as it is for a citizen to scare a police officer, Section 307 IPC [attempt to murder] is not made out because I had no intention to kill."" Special Public Prosecutor Anuj Handa, appearing for the police, said that the accused had clearly pointed the gun at the cop. Opposing Guruswamy's arguments that Pathan had no intention to kill the cop, Handa said, ""The gun is pointed slightly downwards directly at the head of the complainant. His hand going upwards is because of the recoil after shots are fired."" ""The question I ask myself is this, during the first part of the video, he shoots at the different directions of the mob, who might be belonging to the different community. Suppose any person would have succumbed to the injuries, would the offence not have been made out?"" the prosecutor asked. Pathan is facing charges of offences such as rioting with a deadly weapon, an attempt to murder, assault, and obstructing public servants in the discharge of duty under the Indian Penal Code (IPC) and the Arms Act. Communal clashes had broken out in northeast Delhi in February 2020, after violence between the Citizenship (Amendment) Act supporters and its protesters spiraled out of control leaving at least 53 people dead and over 700 injured. "
6	"NEW DELHI: A Delhi court has framed charges of murder and rioting against 12 people for the lynching of a man during the 2020 Delhi riots, reports Usha Das.  The prosecution told additional sessions judge Virender Bhat that the accused were members of an unlawful assembly on February 25 and 26, and their aim was to avenge the death of some members of their community. To this end, they allegedly bludgeoned one Aas Mohammad to death. The special public prosecutor, appearing for Delhi Police, submitted that messages sent on a WhatsApp group during the riots clearly reveal the 12 had hatched a conspiracy. The counsel for the accused conceded the charges for all the offences except that of criminal conspiracy. Charges framed under Section 144 Later, additional sessions judge Virender Bhat framed charges against the accused under sections 144 (joining unlawful assembly armed with deadly weapon), 147 and 148 (rioting), 149 (unlawful assembly), 302 (murder) IPC. He, however, discharged all of them from the charge of criminal conspiracy. "
7	"NEW DELHI: With more bodies being recovered from drains and people in hospitals dying of injuries, the death toll in the north-east Delhi communal riots rose to 38 on Thursday. However, no incident of violence has been reported since Tuesday night and life is slowly returning to normal. Prohibitory orders imposed under Section 144 will be relaxed for 10 hours on Friday in view of the improvement in the ground situation. Delhi Police has arrested over 130 people, detained over 400 and registered 48 FIRs. It has also booked Aam Aadmi Party councillor Tahir Hussain and his associates in the case of murder of Intelligence Bureau official Ankit Sharma. He is yet to be arrested. Sharma’s case, along with other cases of riots, have been transferred to the crime branch and a special investigation team (SIT) — as reported by TOI on Thursday — has been set up to probe the case. Delhi violence: Live updatesThe SIT will also probe a “larger conspiracy”, which cops suspect was hatched over a period. Their suspicion has been strengthened by the recoveries made from the area which include improvised hand grenades tied with rope and “bottle bomb launchers” which resemble a big-size slingshot tied to trees or fences to make it look like swings. These arrangements could not have been made overnight, said a source. Meanwhile, chief minister Arvind Kejriwal announced on Thursday that Delhi government will bear all medical expenses of the riot victims even if they are admitted to private hospitals and give up to Rs 10 lakh as compensation to the kin of the dead and up to Rs 5 lakh each to those who have lost their houses and shops in the riots. Eighteen subdivisional magistrates (SDMs) have been deployed to monitor the relief and rehabilitation operations. The Delhi LG on Thursday reviewed the situation and directed the police to ensure continued and adequate deployment of force apart from carrying out enhanced patrolling and area domination exercises. Four teams of Delhi FSL — physics, biology, chemistry and photo — visited several spots in the area to lift samples. The authorities will now make efforts for quick disposal of burnt vehicles, lifting of malba, clearing of animal carcasses and repair of roads, signages, government assets and religious structures, in coordination with the police. “The LG has also asked for setting up of sufficient number of shelter homes with basic amenities, including beddings, blankets, medicines, food, sanitation and clean drinking water, ensuring timely medico-legal certificates and post-mortem reports etc. to the victims and their families,” said a government official. The principal secretary (law) was asked to coordinate with the district legal services authorities to provide immediate legal aid to the victims. Arrangements are being made in coordination with IHBAS for counselling of riot victims to treat those with post-traumatic stress disorder and any other issues. The LG has also asked the revenue department to adopt confidence-building measures and make a quick survey of the quantum of loss to individuals, families, business establishments, shops and institutions and ensure speedy compensation. Special CP Sundari Nanda, assisted by East Delhi Municipal Corporation officials, health department and district administration, will meet the injured and families of the deceased personally and ensure that all steps are taken to provide them help. Delhi Police has appealed to people residing in north-east Delhi that if they had witnessed violent incidents, they should come forward and share their ordeal and videos with the police. The locals can also send videos and pictures through WhatsApp on two mobile numbers —8750871221 and 8750871227. Watch Delhi riots: Bodies found in drains, death toll rises to 38"
8	"NEW DELHI: A court has framed charges of rioting and other offences against three men for allegedly setting a mosque on fire during the northeast Delhi riots, noting that the delay in recording the statements of two witnesses couldn't be held fatal to the prosecution case at the stage of deciding charges. Additional sessions judge Virender Bhat framed charges of rioting, unlawful assembly and arson against Deepak, Prince and Shiv for allegedly vandalising and setting the Janati mosque on fire on February 24, 2020 in Gokalpuri. ""No doubt, the statements of these two witnesses have been recorded on September 5, 2021, but they have clearly mentioned that they did not disclose the incident to police on account of fear and it is when police reached their shop in Ganga Vihar for making inquiries regarding their complaint in (another) case that they garnered courage to make a statement in this case,"" the court said on February 11. It also noted that constables Raksh and Vipin stated that when they reached Ganga Vihar along with the investigating officer on March 9, 2020, head constable Mahesh had told them that these three rioters, along with two associates, who allegedly committed vandalisation and arson in the mosque, were present in the A block park. Mahesh had identified all of them in a CCTV footage given to him by a secret informer, the cops said. Police arrested the accused after this, and ""therefore, it cannot be said the arrest of the accused on March 9, 2020 was without any evidence"", the court pointed out. ""The evidence was there in the shape of video footage... though the CD containing it was seized by the investigating officer on the next day,"" it added. The counsel for the accused had argued that the initial chargesheet was filed without any evidence against them and two of the witnesses were planted later. "
9	"NEW DELHI: Activist Khalid Saifi, accused in a case related to the larger conspiracy in northeast Delhi violence in 2020, on Wednesday told a court that Delhi police was attempting to communalise the matter. He made the submissions through his counsel before Additional Sessions Judge Amitabh Rawat, who reserved the order on his bail application. Senior Advocate Rebecca John, appearing for Saifi, told the court that the evidence produced by the Delhi police did not add up as it was based on conjectures and surmises. The senior advocate referred to the submission made by the prosecution that protest was communal, was not organic and it was a conspiracy of silence. ""My friend (public prosecutor) said protests were communal, not organic. Let us assume, even if it was not organic. Protests are organised. So what? Prosecution has sought to communalise this case. One community (was) affected by this bill (Citizenship (Amendment) Act). It is their right to protest"", she said. ""Why is prosecution attempting to communalize the narrative? Don't lay the narrative on one community. Don't brush aside the actions of Delhi Police, that too apparent from a reading of this WhatsApp group,"" the counsel said. She referred to a message which read Delhi Police breaking public cameras to avoid accountability. ""But no investigation was made into this,"" she said. John further submitted that the prosecution was relying on some chats in the Delhi Protest Support Group (DPSG). She shared the screenshot of a message sent by Khalid Saifi in the group which read, 'open, clear, inaction of police for the violence. The CM must be held accountable for the same. Protest must be held outside his residence.' ""How this incriminates me (Saifi) beats my reasoning or imagination. I own the message,"" she said. The court, meanwhile, adjourned the arguments on the bail plea of former JNU student Umar Khalid for Friday on a plea by his counsel. She further submitted that none of the ingredients under section 15 ( terrorist act) and section 17 ( terror funding) UAPA, levelled against Saifi, were met. Even for Section 18 (conspiracy to commit Terrorist Act) of UAPA were not satisfied, the counsel said. Saifi, along with several others, has been booked under the anti-terror law in the case for being the ""masterminds"" of the February 2020 riots, which had left 53 people dead and over 700 injured. The violence had erupted during the protests against the CAA and the National Register of Citizens. Besides him, former JNU student leader Umar Khalid, JNU students Natasha Narwal and Devangana Kalita, Jamia Coordination Committee members Safoora Zargar, former AAP councillor Tahir Hussain and several others have also been booked under the stringent law in the case. "
